Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
CSE,320,21374,Operating Systems,Th,1:30 PM,2:20 PM,TEMPE,39,BYAC190,FENGBO
CSE,320,21373,Operating Systems,T,1:30 PM,2:20 PM,TEMPE,30,BYAC190,FENGBO
CSE,325,19690,Operating Systems,T,3:00 PM,3:50 PM,TEMPE,35,BYAC190,Meuth
CSE,325,19691,Operating Systems,Th,3:00 PM,3:50 PM,TEMPE,35,BYAC190,Meuth
CSE,325,18820,Operating Systems,MW,10:45 AM,12:00 PM,TEMPE,70,CAVC359,Meuth
CSE,330,21168,Operating Systems,T,1:30 PM,2:20 PM,TEMPE,42,BYAC260,DASGUPTA
CSE,330,20876,Operating Systems,M,3:05 PM,3:55 PM,TEMPE,30,BYAC260,Ayan
CSE,330,21169,Operating Systems,Th,1:30 PM,2:20 PM,TEMPE,42,BYAC260,DASGUPTA
CSE,330,20872,Operating Systems,M,2:00 PM,2:50 PM,TEMPE,43,BYAC260,ZHAO
CSE,330,19457,Operating Systems,MW,10:45 AM,12:00 PM,TEMPE,128,COORL1-20,DASGUPTA
CSE,330,11269,Operating Systems,TTh,4:30 PM,5:45 PM,TEMPE,128,COORL1-20,ZHAO
CSE,330,20877,Operating Systems,W,3:05 PM,3:55 PM,TEMPE,30,BYAC260,Ayan
CSE,330,21171,Operating Systems,F,2:00 PM,2:50 PM,TEMPE,43,BYAC260,DASGUPTA
CSE,330,20875,Operating Systems,Th,6:00 PM,6:50 PM,TEMPE,30,COORL1-84,Ayan
CSE,330,20878,Princ of Mobile App Dev,F,3:05 PM,3:55 PM,TEMPE,30,BYAC260,Ayan
CSE,330,13028,Principles of Programming Lang,MWF,11:50 AM,12:40 PM,TEMPE,128,CDN68,Ayan
CSE,330,20874,Principles of Programming Lang,T,6:00 PM,6:50 PM,TEMPE,42,BYAC190,ZHAO
CSE,330,20873,Principles of Programming Lang,W,2:00 PM,2:50 PM,TEMPE,43,BYAC260,ZHAO
CSE,335,21044,Principles of Programming Lang,MWF,9:40 AM,10:30 AM,TEMPE,150,PSH152,janaka
CSE,340,19695,Principles of Programming Lang,M,11:50 AM,12:40 PM,TEMPE,43,BYENGM1-09,Bazzi
CSE,340,11315,Principles of Programming Lang,MWF,12:55 PM,1:45 PM,TEMPE,175,PSH150,Bazzi
CSE,340,29115,Principles of Programming Lang,T,4:30 PM,5:20 PM,TEMPE,35,BYAC260,Bazzi
CSE,340,14190,Principles of Programming Lang,MWF,2:00 PM,2:50 PM,TEMPE,169,PSH152,Bazzi
CSE,340,19696,Principles of Programming Lang,M,12:55 PM,1:45 PM,TEMPE,35,BYAC270,Bazzi
CSE,340,19692,Principles of Programming Lang,Th,4:30 PM,5:20 PM,TEMPE,42,BYAC260,Bazzi
CSE,340,19693,Intro Theoretical Computer Sci,W,11:50 AM,12:40 PM,TEMPE,42,BYENGM1-09,Bazzi
CSE,340,19698,Intro Theoretical Computer Sci,F,12:55 PM,1:45 PM,TEMPE,35,BYAC270,Bazzi
CSE,340,19697,Intro Theoretical Computer Sci,W,12:55 PM,1:45 PM,TEMPE,35,BYAC270,Bazzi
CSE,355,19708,Intro Theoretical Computer Sci,M,3:05 PM,3:55 PM,TEMPE,33,BYAC190,Ben Amor
CSE,355,19705,Intro Theoretical Computer Sci,M,2:00 PM,2:50 PM,TEMPE,31,BYAC190,Fainekos
CSE,355,19702,Intro Theoretical Computer Sci,F,9:40 AM,10:30 AM,TEMPE,42,BYAC190,colbourn
CSE,355,19707,Intro Theoretical Computer Sci,F,2:00 PM,2:50 PM,TEMPE,32,BYAC190,Ben Amor
CSE,355,19710,Intro Theoretical Computer Sci,F,3:05 PM,3:55 PM,TEMPE,29,BYAC190,Ben Amor
CSE,355,14505,Intro Theoretical Computer Sci,TTh,9:00 AM,10:15 AM,TEMPE,128,COORL1-20,colbourn
CSE,355,19703,Intro Theoretical Computer Sci,T,12:00 PM,12:50 PM,TEMPE,36,BYAC190,Fainekos
CSE,355,23314,Intro Theoretical Computer Sci,MW,4:35 PM,5:50 PM,TEMPE,128,COORL1-20,Fainekos
CSE,355,19701,Intro Theoretical Computer Sci,W,9:40 AM,10:30 AM,TEMPE,42,BYAC190,colbourn
CSE,355,19709,Intro Theoretical Computer Sci,W,3:05 PM,3:55 PM,TEMPE,34,BYAC190,Ben Amor
CSE,355,19706,Intro Theoretical Computer Sci,W,2:00 PM,2:50 PM,TEMPE,28,BYAC190,Fainekos
CSE,355,19704,Intro Theoretical Computer Sci,Th,12:00 PM,12:50 PM,TEMPE,34,BYAC190,Fainekos
CSE,355,19700,Intro to Software Engineering,M,9:40 AM,10:30 AM,TEMPE,42,BYAC190,colbourn
CSE,355,23315,Intro to Software Engineering,TTh,6:00 PM,7:15 PM,TEMPE,128,COORL1-20,Ben Amor
CSE,360,11301,Information Assurance,M,3:05 PM,4:20 PM,TEMPE,198,CDN60,callis
CSE,360,26013,Multimedia Information Systems,W,3:05 PM,4:20 PM,TEMPE,198,CDN60,callis
CSE,365,21120,Database Management,TTh,10:30 AM,11:45 AM,TEMPE,140,PSH153,fish wang
CSE,365,30853,Computer Architecture I,TTh,3:00 PM,4:15 PM,TEMPE,100,LIBC12,fish wang
CSE,408,21593,Systems Capstone Project I,TTh,12:00 PM,1:15 PM,TEMPE,142,SCOB228,Staff
CSE,412,21128,Systems Capstone Project I,MW,9:00 AM,10:15 AM,TEMPE,175,PSH150,sarwat
CSE,420,11268,Systems Capstone Project I,MWF,2:00 PM,2:50 PM,TEMPE,124,COOR174,aviral
CSE,423,13030,Systems Capstone Project I,Th,10:30 AM,11:20 AM,TEMPE,65,BYENGM1-09,Meuth
CSE,423,13030,Systems Capstone Project II,T,12:00 AM,12:00 AM,TEMPE,65,INTRT,Meuth
CSE,424,11212,Systems Capstone Project II,T,9:00 AM,10:15 AM,TEMPE,65,BYENGM1-09,meuth
CSE,424,11212,Systems Capstone Project II,T,12:00 AM,12:00 AM,TEMPE,65,INTRT,Meuth
CSE,434,11223,Systems Capstone Project II,MW,9:00 AM,10:15 AM,TEMPE,80,Cavc359,syrotiuk
CSE,445,11326,Computer Networks,MWF,12:55 PM,1:45 PM,TEMPE,150,SCOB210,janaka
CSE,446,14506,Distributed Software Developmt,TTh,12:00 PM,1:15 PM,TEMPE,100,LIBC10,chen
CSE,450,21121,Software Integration and Engr,TTh,9:00 AM,10:15 AM,TEMPE,132,COORL1-74,Richa
CSE,460,11725,Design&Analysis of Algorithms,MW,4:35 PM,5:50 PM,TEMPE,100,LIBC12,Sarjoughian
CSE,463,14179,Software Analysis and Design,TTh,4:30 PM,5:45 PM,TEMPE,325,BAC116,Atkinson
CSE,464,21784,Intro Human Computer Interactn,MWF,8:35 AM,9:25 AM,TEMPE,150,PSH152,janaka
CSE,469,14518,Software QA and Testing,TTh,3:00 PM,4:15 PM,TEMPE,80,COOR120,tiffany bao
CSE,470,20425,Computer and Network Forensics,MW,10:45 AM,12:00 PM,TEMPE,80,BYAC110,hansford
CSE,471,13070,Computer Graphics,MW,6:00 PM,7:15 PM,TEMPE,140,PSH153,Gil
CSE,485,20117,Intro Artificial Intelligence,M,2:00 PM,2:50 PM,TEMPE,50,BYAC270,helen
CSE,485,23019,Computer Sci Capstone Proj I,Th,9:00 AM,9:50 AM,TEMPE,55,BYAC110,helen
CSE,485,30990,Computer Sci Capstone Proj I,W,9:40 AM,10:30 AM,TEMPE,55,BYAC270,helen
CSE,485,13081,Computer Sci Capstone Proj I,T,9:00 AM,9:50 AM,TEMPE,50,BYAC110,helen
CSE,485,20118,Computer Sci Capstone Proj I,W,2:00 PM,2:50 PM,TEMPE,50,BYAC270,helen
CSE,485,20119,Computer Sci Capstone Proj I,F,2:00 PM,2:50 PM,TEMPE,50,BYAC270,helen
CSE,485,26090,Computer Sci Capstone Proj I,F,12:15 PM,1:05 PM,TEMPE,45,BYENGM1-09,helen
CSE,485,30991,Computer Sci Capstone Proj I,F,9:40 AM,10:30 AM,TEMPE,50,BYAC270,helen
CSE,486,17141,Computer Sci Capstone Proj I,W,2:00 PM,2:50 PM,TEMPE,55,BYAC150,helen
CSE,486,19979,Computer Sci Capstone Proj I,M,2:00 PM,2:50 PM,TEMPE,55,BYAC150,helen
CSE,486,19293,Computer Sci Capstone Proj I,Th,9:00 AM,9:50 AM,TEMPE,55,BYAC150,helen
CSE,486,20121,Computer Sci Capstone Proj I,M,9:40 AM,10:30 AM,TEMPE,40,BYAC270,helen
CSE,486,20120,Computer Sci Capstone Proj II,T,9:00 AM,9:50 AM,TEMPE,55,BYAC150,helen
CSE,486,11222,Computer Sci Capstone Proj II,F,2:00 PM,2:50 PM,TEMPE,50,BYAC150,helen
CSE,510,13029,Computer Sci Capstone Proj II,MW,3:05 PM,4:20 PM,TEMPE,100,COORL1-74,candan
CSE,512,21124,Computer Sci Capstone Proj II,F,3:05 PM,5:35 PM,TEMPE,132,COORL1-74,sarwat
CSE,520,21131,Computer Sci Capstone Proj II,MWF,12:55 PM,1:45 PM,TEMPE,115,COORL1-20,lee
CSE,530,32110,Embed Operating Sys Internals,MW,4:35 PM,5:50 PM,TEMPE,120,CAVC351,lee
CSE,535,19325,Computer Sci Capstone Proj II,TTH,3:00 PM,4:15 PM,TEMPE,130,CAVC351,Ayan
